selector,link
#topicText,https://www.uptodate.com/contents/tetanus-the-basics?search=Patient%20education&source=search_result&selectedTitle=110~150&usage_type=default&display_rank=110
#main-content,https://www.mayoclinic.org/diseases-conditions/tetanus/symptoms-causes/syc-20351625
#mw-content-text,https://en.wikipedia.org/wiki/Tetanus
#maincontent > article > div > div,https://www.nhs.uk/conditions/tetanus/
body > div.container.d-flex.flex-wrap.body-wrapper.bg-white > main > div:nth-child(3) > div > div:nth-child(3) > div:nth-child(1) > div,https://www.cdc.gov/tetanus/about/symptoms-complications.html
#__next > div.css-fdjy12 > div:nth-child(5) > div.css-stl7tm > div > div,https://www.healthline.com/health/tetanus#causes
#__next > div.css-fdjy12 > div:nth-child(5) > div > div > div > div:nth-child(3) > article,https://www.medicalnewstoday.com/articles/163063
#skip > div:nth-child(1) > article,https://www.hopkinsmedicine.org/health/conditions-and-diseases/tetanus
body > div:nth-child(6) > div > div.main-content > section.component-body-content-refactored.row.v-gutters > div > div,https://www.childrenshospital.org/conditions-and-treatments/conditions/t/tetanus/symptoms-and-causes
body > main > article > div.article-template__body > div > div.row.article-template__row--right-rail > div.col-lg-8.article-template__main > div:nth-child(2) > div > div > div > div > section,https://www.everydayhealth.com/tetanus/guide/
